first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
กละออมเพ็ญเพียบน้ำ,ฤาติง,โอ่งอ่างพร่องชลชิง,เฟื่องหม้อ,ผู้ปราชญ์ห่อนสุงสิง,เยียใหญ่,คนโฉดรู้น้อยก้อ,พลอดนั้นประมาณ ฯ
งาสารฤๅห่อนเหี้ยน,หดคืน,คำกล่าวสาธุชนยืน,อย่างนั้น,ทุรชนกล่าวคำฝืน,คำเล่า,หัวเต่ายาวแล้วสั้น,เล่ห์ลิ้นทรชน ฯ
ทรชนอย่าเคียดแค้น,อย่าสนิท,อย่าห่างศัตรูชิด,อย่าใกล้,คือไฟถ่านแรงฤทธิ์,ถือถลาก มือนา,แม้นดับแล้วบ่ไหม้,หม่นต้องมือดำ ฯ
มิตรพาลอย่าคบให้,สนิทนัก,พาลใช่มิตรอย่ามัก,กล่าวใกล้,ครั้นคราวเคียดคุมชัก,เอาโทษ ใส่นา,รู้เหตุสิ่งใดไซร้,ส่อสิ้นกลางสนาม ฯ
หมาใดตัวร้ายขบ,บาทา,อย่าขบตอบต่อหมา,อย่าขึ้ง,ทรชนชาติช่วงทา-,รุณโทษ,อย่าโกรธอย่าหน้าบึ้ง,ตอบถ้อยถือความ ฯ
ลูกสะเดาน้ำผึ้งซาบ,โทรมปน,แล้วปลุกปองรสคนธ์,แอบอ้อย,ตราบเท่าออกดอกผล,พวงดก,ขมแห่งสะเดาน้อย,หนึ่งรู้โรยรา ฯ
พริกเผ็ดใครให้เผ็ด,ฉันใด,หนามย่อมแหลมเองใคร,เซี่ยมได้,จันทน์กฤษณาไฉน,ใครอบ หอมฤๅ,วงศ์แห่งนักปราชญ์ได้,เพราะด้วยฉลาดเอง ฯ
จันทน์แห้งกลิ่นห่อนได้,ดรธาน,อ้อยหีบชานยังหวาน,โอชอ้อย,ช้างเข้าศึกเสี่ยมสาร,ยกย่าง งามนา,บัณทิตแม้นทุกข์ร้อย,เท่ารื้อลืมธรรม ฯ
ฝูงหงส์หลงเข้าสู่,ฝูงกา,สีหราชเคียงโคนา,คลาดเคล้า,ม้าต้นระคนลา,เลวชาติ,นักปราชญ์พาลพาเต้า,สี่นี้ไฉนงาม ฯ
แมลงวันแสวงเสพด้วย,ลามก,พาลชาติเสาะสิ่งรก,เรื่องร้าย,ภุมราเห็จเหินหก,หาบุษ- บานา,นักปราชญ์ฤๅห่อนหม้าย,หมั่นสู้แสวงธรรม ฯ
เนื้อปองน้ำหญ้าบ่,ปองทอง,ลิงบ่ปองรัตน์ปอง,ลูกไม้,หมูปองอสุจิของ-,หอมห่อน ปองนา,คนเคลิบเคลิ้มบ้าใบ้,ห่อนรู้ปองธรรม ฯ
กายเกิดพยาธิโรคร้าย,ยาหาย,แต่พยศยาไป่วาย,ตราบม้วย,ชาติเสือห่อนหายลาย,ลบผ่อง,กล้วยก็กล้วยคงกล้วย,กลับกล้ายฤๅมี ฯ
ขุนเขาสูงร้อยโยชน์,คณนา,ขุนปราบด้วยโยธา,ราบได้,จักล้างพยศสา,หัสยาก,ยศศักดิ์ให้เท่าให้,พยศนั้นฤาหาย ฯ
คบคนผู้โฉดเคลิ้ม,อับผล,หญิงเคียดอย่าระคน,ร่วมห้อง,อย่าคบหมู่ทรชน,สอนยาก,บัณทิตแม้ตกต้อง,โทษสู้สมาคม ฯ
ภูเขาอเนกล้ำ,หากมี,บมิหนักแผ่นธรณี,หน่อยไซร้,หนักนักแต่กระลี,ลวงโลก,อันจักทรงทานได้,แด่พื้นนรกานต์ ฯ
ภูเขาทั้งแท่งล้วน,ศิลา,ลมพยุพัดพา,บ่ขึ้น,สรรเสริญแลนินทา,คนกล่าว,ใจปราชญ์ฤาเฟื่องพื้น,ห่อนได้จินต์จล ฯ
ห้ามเพลิงไว้อย่าให้,มีควัน,ห้ามสุริยแสงจันทร์,ส่องไซร้,ห้ามอายุให้หัน,คืนเล่า,ห้ามดังนี้ไว้ได้,จึ่งห้ามนินทา ฯ
ภูเขาเหลือแหล่ล้วน,ศิลา,หามณีจินดา,ยากได้,ฝูงชนเกิดนานา,ในโลก,หานักปราชญ์นั้นไซร้,เลือกแล้วฤามี ฯ
ป่าหลวงหลายโยชน์พร้อม,พฤกษา,หาแก่นจันทน์กฤษณา,ยากไซร้,ฝูงคนเกิดมีมา,เหลือแหล่,หาปราชญ์ฤาจักได้,ยากแท้ควรสงวน ฯ
มัจฉามีทั่วท้อง,ชโลธร,หาเงือกงูมังกร,ยากได้,ทั่วด้าวพระนคร,คนมาก มีนา,จักเสาะสัปปุรุษไซร้,ยากแท้จักมี ฯ
๏: ด ารามีมากร้อย,ถึงพัน,บ่เปรียบกับดวงจันทร์,หนึ่งได้,คนพาลมากอนันต์,ในโลก,จะเทียบเท่าปราชญ์ไซร้,ยากแท้ฤาถึง ฯ
เหมหงส์เลี้ยงชีพด้วย,สาคร,ช้างพึ่งพนาดร,ป่าไม้,ภุมราบุษบากร,ครองร่าง ตนนา,นักปราชญ์เลี้ยงตัวได้,เพื่อด้วยปัญญา ฯ
นกแร้งบินได้เพื่อ,เวหา,หมู่จระเข้เต่าปลา,พึ่งน้ำ,เข็ญใจพึ่งราชา,จอมราช,ลูกอ่อนอ้อนกลืนกล้ำ,เพื่อน้ำนมแรง ฯ
ป่าพึ่งพาลพยัคฆ์ร้าย,ราวี,เสือพึ่งไพรพงพี,เถื่อนถ้ำ,ความชั่วพึ่งความดี,เท็จพึ่ง จริงนา,เรือพึ่งแรงน้ำน้ำ,หากรู้คุณเรือ ฯ
ตีนงูงูไซร้หาก,เห็นกัน,นมไก่ไก่สำคัญ,ไก่รู้,หมู่โจรต่อโจรหัน,เห็นเล่ห์ กันนา,เชิงปราชญ์ฉลาดกล่าวผู้,ปราชญ์รู้เชิงกัน ฯ
มีอายุร้อยหนึ่ง,นานนัก,ศีลชื่อปัญจางค์จัก,ไป่รู้,ขวบเดียวเด็กรู้รัก-,ษานิจ ศีลนา,พระตรัสสรรเสริญผู้,เด็กนั้นเกิดศรี ฯ
คนใดยืนอยู่ร้อย,พรรษา,ใจบ่มีปรีชา,โหดไร้,วันเดียวเด็กเกิดมา,ใจปราชญ์,สรรเพชญ์บัณฑูรไว้,เด็กนั้นควรยอ ฯ
คนใดยืนเหยียบร้อย,ขวบปี,ความอุตส่าหฤามี,เท่าก้อย,เด็กเกิดขวบหนึ่งดี,เพียรพาก,พระตรัสว่าเด็กน้อย,นี่เนื้อเวไนย ฯ
อายุถึงร้อยขวบ,เจียรกาล,ธัมโมชอันโอฬาร,บ่รู้,เด็กน้อยเกิดประมาณ,วันหนึ่ง,เห็นถ่องธรรมยิ่งผู้,แก่ร้อยพรรษา ฯ
มีอายุอยู่ร้อย,ปีปลาย,ความเกิดแลความตาย,ไป่รู้,วันเดียวเด็กหญิงชาย,เห็นเกิด ตายนา,ลูกอ่อนนั้นยิ่งผู้,แก่ร้อยปีปลาย ฯ
ธิรางค์รู้ธรรมแม้,มากหลาย,บ่กล่าวให้หญิงชาย,ทั่วรู้,ดุจหญิงสกลกาย,งามเลิศ,อยู่ร่วมเรือนผัวผู้,โหดแท้ขันที ฯ
เว้นวิจารณ์ว่างเว้น,สดับฟัง,เว้นที่ถามอันยัง,ไป่รู้,เว้นเล่าลิขิตสัง-,เกตว่าง เว้นนา,เว้นดั่งกล่าวว่าผู้,ปราชญ์ได้ฤามี ฯ
รู้ธรรมเทียมเท่าผู้,ทรงไตร,เจนจัดอรรถภายใน,ลึกล้น,กล่าวแก้สิ่งสงสัย,เลอะเลื่อน,รสพระธรรมอั้นอ้น,ว่ารู้ใครชม ฯ
รู้น้อยว่ามากรู้,เริงใจ,กลกบเกิดอยู่ใน,สระจ้อย,ไป่เห็นชเลไกล,กลางสมุทร,ชมว่าน้ำบ่อน้อย,มากล้ำลึกเหลือ ฯ
รูปชั่วมักแต่งแกล้ง,เกลาทรง,ใจขลาดมักอาจอง,อวดสู้,น้ำพร่องกะละออมคง,กระฉอก ฉานนา,เฉาโฉดโอษฐ์อวดรู้,ว่ารู้ใครเทียม ฯ
จระเข้คับน่านน้ำ,ไฉนหา ภักษ์เฮย,รถใหญ่กว่ารัถยา,ยากแท้,เสือใหญ่กว่าวนา,ไฉนอยู่ ได้แฮ,เรือเขื่องคับชเลแล้,แล่นโล้ไปไฉน ฯ
มณฑกทำเทียบท้าว,ราชสีห์,แมวว่ากูพยัคฆี,แกว่นกล้า,นกจอกว่าฤทธี,กูยิ่ง ครุฑนา,คนประดากขุกมีข้า,ยิ่งนั้นแสนทวี ฯ
หิ่งห้อยส่องก้นสู้,พระจันทร์,ปัดเทียบเทียมรัตนอัน,เอี่ยมข้า,ทองเหลืองหลู่สุวรรณ,ธรรมชาติ,พาลว่าตนเองอ้า,อาจล้ำเลยกวี ฯ
เสือผอมกวางวิ่งเข้า,โจมขวิด,ไป่ว่าเสือมีฤทธิ์,เลิศล้ำ,เล็บเสือดั่งคมกฤช,เสือซ่อน ไว้นา,ครั้นปะปามล้มคว่ำ,จึ่งรู้จักเสือ ฯ
ทองเหลืองเปลื้องร้ายห่อน,เห็นมี,ขัดเท่าขัดราคี,เล่าไซร้,นพคุณหมดใสสี,เสร็จโทษ,ถึงบ่แต่งตั้งไว้,แจ่มแจ้งไพบูลย์ ฯ
พระสมุทรไหวหวาดห้วย,คลองสรวล,เมรุพลวกปลวกสำรวล,ร่าเร้า,สีหราชร่ำคร่ำครวญ,สุนัขเยาะ หยันนา,สุริยส่องยามเย็นเข้า,หิ่งห้อยยินดี ฯ
แมวล่าหนูแซ่ซี้,จรจรัล,หมาล่าวิฬาร์ผัน,สู่หล้าง,ครูล่าศิษย์และธรรม์,คบเพื่อน พาลนา,เสือล่าป่าแรมร้าง,หมดไม้ไพรสณฑ์ ฯ
จามรีขนข้องอยู่,หยุดปลด,ชีพบ่รักรักยศ,ยิ่งไซร้,สัตว์โลกซึ่งสมมติ,มีชาติ,ดูเยี่ยงสัตว์นั้นได้,ยศซ้องสรรเสริญ ฯ
นพคุณใส่เบ้าสูบ,แสนที,ค้อนเหล็กรุมรันตี,ห่อนม้วย,บ่เจ็บเท่าธุลี,สักหยาด,เจ็บแต่ท่านชั่งด้วย,กล่ำน้อยหัวดำ ฯ
เสียสินสงวนศักดิ์ไว้,วงศ์หงส์,เสียศักดิ์สู้ประสงค์,สิ่งรู้,เสียรู้เร่งดำรง,ความสัตย์ ไว้นา,เสียสัตย์อย่าเสียสู้,ชีพม้วยมรณา ฯ
ตัดจันทน์ฟันม่วงไม้,จัมบก,แปลงปลูกหนามรามรก,รอบเรื้อ,ฆ่าหงส์มยุรนก,กระเหว่า เสียนา,เลี้ยงหมู่กากินเนื้อ,ว่ารู้ลีลา ฯ
เอาสารเทียมอูฐโอ้,เป็นมูล,เก็บปัดเทียมแก้วปูน,ค่าไว้,เมืองใดพิกัดพูน,มีดั่ง นี้นา,นับแต่ไกลอย่าได้,ไต่เต้าเมืองเข็ญ ฯ
น้ำเคี้ยวยูงว่าเงี้ยว,ยูงตาม,ทรายเหลือหางยูงงาม,ว่าหญ้า,ตาทรายยิ่งนิลวาม,พรายเพริศ,ลิงว่าหว้าหวังหว้า,หว่าดิ้นโดยตาม ฯ
สังขารหวัวผู้ว่า,ตนทระนง,ทรัพย์ย่อมหวัวคนจง,ว่าเจ้า,หญิงหวัวแก่ชายหลง,ชมลูก,มัจจุราชหวัวผู้เถ้า,บ่รู้วันตาย ฯ
มือด้วนคิดจะมล้าง,เขาหมาย,ปากด้วนถ่มน้ำลาย,เลียบฟ้า,หิ่งห้อยแข่งแสงฉาย,สุริเยศ,คนทุพพลอวดกล้า,แข่งผู้มีบุญ ฯ
แว่นตามาใส่ผู้,อันธการ,คนหูหนวกฟังสำนาน,ขับร้อง,คนใบ้ใฝ่แสดงสาร,โคลงกาพย์,เฉกเครื่องประดับซ้อง,ใส่ให้วานร ฯ
วัดช้างเบื้องบาทรู้,จักสาร,วัดอุทกชักกมุทมาลย์,แม่นรู้,ดูครูสดับโวหาร,สอนศิษย์,ดูตระกูลเผ่าผู้,เพื่อด้วยเจรจา ฯ
พระสมุทรสุดลึกล้น,คณนา,สายดิ่งทิ้งทอดวา,หยั่งได้,เขาสูงอาจวัดวา,กำหนด,จิตมนุษย์นี้ไซร้,ยากแท้หยั่งถึง ฯ
ไม้ล้มควรค่ามได้,โดยหมาย,คนล้มจักข้ามกราย,ห่อนได้,ทำชอบชอบห่อนหาย,ชอบกลับ สนองนา,ทำผิดผิดจักให้,โทษแท้ถึงตน ฯ
ไม้ล้มจะค่ามให้,ดูการ,คนท่าวล้มข้ามพาน,ห่อนได้,เสือผอมอย่าอวดหาญ,เข้าผลัก เสือแฮ,พาลประทุษฐ์ตกไร้,อย่าได้ทำคุณ ฯ
ทรชนยากไร้อย่า,ทำคุณ,อย่าหยิบทรัพย์อุดหนุน,หย่อนให้,ก่อเกื้อเกือบเกินทุน,มันมั่ง มีนา,ครั้นค่อยคลายวายไร้,กลับสู้ดูแคลน ฯ
แม้นทำคุณท่านได้,ถึงพัน,ครั้นโทษมีแต่อัน,หนึ่งไซร้,ติฉินหมิ่นคำหยัน,เยาะกล่าว,กลบลบคุณหลังได้,ถึงด้วยพันทวี ฯ
ทำคุณท่านห่อนรู้,คุณสนอง,ท่านบ่แทนคุณปอง,โทษให้,กลกาแต่งยูงทอง,ลายเลิศ,ยูงเอาหมึกหม้อไล้,ลูบสิ้นสรรพางค์ ฯ
เทพาพันเทพเรื้อง,ฤทธิรงค์,บ่เท่าพระอินทร์องค์,หนึ่งได้,คุณพันหนึ่งดำรง,ความชอบ ไว้นา,มีโทษอันหนึ่งไซร้,กลบกล้ำพันคุณ ฯ
ใครซื่อซื่อต่อตั้ง,ตามกัน,ใครคดคดผ่อนผัน,ตอบเต้า,ทองแดงว่าสุวรรณ,ยังถ่อง เหมือนฤา,ดุจลูกสูส่องเถ้า,ว่าโอ้เป็นลิง ฯ
ใครทำโทษโทษนั้น,แทนทด,ใครคิดจิตคดคด,ต่อบ้าง,ใครจริงจึ่งจริงจรด,รักต่อกันนา,ใครใคร่ร้างเร่งร้าง,รักร้างแรมไกล ฯ
นายรักไพร่ไพร่พร้อม,รักนาย,มีศึกสู้จนตาย,ต่อแย้ง,นายเบียนไพร่กระจาย,จากหมู่,นายบ่รักไพร่แกล้ง,ล่อล้างผลาญนาย ฯ
ข้าท้าวเอาจิตท้าว,แม่นหมาย,บ่าวท่านเอาใจนาย,แม่นหมั้น,ศิษย์ท่านผ่อนผันผาย,โดยจิต ครูนา,อยู่ที่เรือนตัวนั้น,แต่น้ำใจเอง ฯ
รักกันอยู่ขอบฟ้า,เขาเขียว,เสมออยู่หอแห่งเดียว,ร่วมห้อง,ชังกันบ่แลเหลียว,ตาต่อ กันนา,เหมือนขอบฟ้ามาป้อง,ป่าไม้มาบัง ฯ
ให้ท่านท่านจักให้,ตอบสนอง,นบท่านท่านจักปอง,นอบไหว้,รักท่านท่านควรครอง,ความรัก เรานา,สามสิ่งนี้เว้นไว้,แต่ผู้ทรชน ฯ
แม้นมีความรู้ดั่ง,สัพพัญญู,ผิบ่มีคนชู,ห่อนขึ้น,หัวแหวนค่าเมืองตรู,ตาโลก,ทองบ่รองรับพื้น,ห่อนแก้วมีศรี ฯ
ราชรถปรากฏด้วย,ธงชัย,ควันประจักษ์แก่ไฟ,เที่ยงแท้,ราชาอิสระใน,สมบัติ,ชายย่อมเฉลิมเลิศแล้,ปิ่นแก้วเกศหญิง ฯ
รำฟ้อนสุนทรด้วย,รูปา,ร้องขับศัพท์เสน่หา,ยิ่งแท้,มวยปล้ำล่ำสันสา-,มารถจึ่ง: ดีแฮ,รักกับชังนั้นแล้,เพื่อลิ้นเจรจา ฯ
กระเหว่าเสียงเพราะแท้,แก่ตัว,หญิงเลิศเพราะรักผัว,แม่นหมั้น,นักปราชญ์มาตรรูปมัว,หมองเงื่อน งามนา,เพราะเพื่อรสธรรมนั้น,ส่องให้เห็นงาม ฯ
นารายณ์วายเว้นจาก,อาภรณ์,อากาศขาดสุริยจร,แจ่มหล้า,เมืองใดบ่มีวร,นักปราชญ์,แม้ว่างามล้นฟ้า,ห่อนได้งามเลย ฯ
เขาใดไร้ถ้ำราช-,สีห์หมาง,สระโหดหงส์ละวาง,วากเว้,พฤกษ์ใดบกใบบาง,บกหน่าย,สาวซัดชู้โอ้เอ้,เพราะชู้ชายทราม ฯ
ป่าใดไกลพยัคฆ์ร้าย,ราวี,ไม้หมดม้วยบ่มี,ร่มเชื้อ,หญิงยศงดงามดี,ผัวหน่าย,เป็นที่หมิ่นชายยื้อ,หยอกเย้าเสียตน ฯ
พลูหมากจากโอษฐ์โอ้,เสียศรี,หญิงจากจอมสามี,ครอบเกล้า,เรือนปราศจากบุตรี,ดรุณเด็ก,เมืองจากจอมภพเจ้า,สี่นี้ฤๅงาม ฯ
เจ็ดวันเว้นดีดซ้อม,ดนตรี,อักขระห้าวันหนี,เนิ่นช้า,สามวันจากนารี,เป็นอื่น,วันหนึ่งเว้นล้างหน้า,อับเศร้าศรีหมอง ฯ
๏: ด อยใดมีถ้ำราช-,สีห์ประสงค์,เหมืองมาบมีบัวหงส์,หากใกล้,ต้นไม้พุ่มพัวพง,นกมาก มีนา,สาวหนุ่มตามชู้ไซร้,เพราะชู้ชอบตา ฯ
เปือกตมชมชื่นเชื้อ,กาสร,หงส์กับบุษบากร,ชื่นช้อย,ภิกษุเสพสังวร,ศีลสุข ไซร้นา,บุรุษรสรักร้อย,เท่าน้อมในหญิง ฯ
ใครจักผูกโลกแม้,รัดรึง,เหล็กเท่าลำตาลตรึง,ไป่หมั้น,มนตร์ยาผูกนานหึง,หายเสื่อม,ผูกเพื่อไมตรีนั้น,แน่นเท้าวันตาย ฯ
จำสารสับปลอกเกี้ยว,ตีนสาร,จำนาคมนตร์โอฬาร,ผูกแท้,จำคนเพื่อใจหวาน,ต่างปลอก,จำโลกนี้นั่นแล้,แต่ด้วยไมตรี ฯ
เรียนพระธรรมแท้ผูก,ศาสนา,ปลอกผูกคชตรึงตรา,ตรากหมั้น,มนตร์ดลแลหยูกยา,สมรรถผูก งูแฮ,ผูกโลกทั้งหลายนั้น,แน่นด้วยไมตรี ฯ
ผจญคนมักโกรธด้วย,ไมตรี,ผจญหมู่ทรชนดี,ต่อตั้ง,ผจญคนจิตโลภมี,ทรัพย์เผื่อ แผ่นา,ผจญอสัตย์ให้ยั้ง,หยุดด้วยสัตยา ฯ
รบชนะศึกได้,ในณรงค์,รบแม่เรือนตัวยง,ขยาดแพ้,รบใจชักให้คง,ความสัตย์,ถือว่าผู้นั้นแล้,เลิศล้ำชายชาญ ฯ
คนใดคนหนึ่งผู้,ใจฉกรรจ์,เคียดฆ่าคนอนันต์,หนักแท้,ไป่ปานบุรุษอัน,ผจญจิต เองนา,เธียรท่านเยินยอแล้,ว่าผู้มีชัย ฯ
แพ้ศึกหลบหลีกได้,รอดตน,แพ้คดีทุกข์ทน,ทรัพย์ผ้าย,แพ้เบี้ยค่นจนจน,ตัวยาก ก็ดี,แพ้แม่เรือนทำร้าย,ยากเท้าบรรลัย ฯ
สงครามแสวงท่วยแกล้ว,อาสา,กลคดีพึงหา,ท่านรู้,ยามกินรสโอชา,ชวนเพื่อน กินนา,หาปราชญ์ล้ำเลิศผู้,เมื่อแก้ปริศนา ฯ
แสวงรู้พึงคบด้วย,บัณฑิต,แสวงทรัพย์คบพาณิช,ง่ายไซร้,แสวงหายศศักดิ์ชิด,ชอบราช,ผิใคร่ได้ลูกไซร้,เสพส้องเมียสาว ฯ
หายากเชิงรอบรู้,การกิจ,หายากเชิงชาญชิด,ชอบใช้,หายากเช่นเชิงมิตร,คุงชีพ,หายากเชิงช่างให้,ชอบน้ำใจจริง ฯ
ร้อยคนหาแกว่นแกล้ว,กลางณรงค์,พันหนึ่งหาปัญญายง,ยิ่งรู้,แสนคนเสาะคนตรง,ยังยาก,ไป่เท่าคนหนึ่งผู้,อาจอ้างอวยทาน ฯ
ร้อยคนหาแกว่นแกล้ว,กลางณรงค์,พันหนึ่งหาปัญญายง,ยิ่งรู้,แสนคนเสาะคนตรง,ยิ่งยาก,ไป่เท่าคนหนึ่งผู้,อาจอ้างอวยทาน ฯ
ช้างม้าเมียมิ่งแก้ว,เงินทอง,ตัวมิตายจักปอง,ย่อมได้,ชีวิตสิ่งเดียวของ,หายาก,ใช่ประทีปเทียนไต้,ดับแล้วจุดคืน ฯ
เมื่อน้อยเรียนเร่งรู้,วิชา,ครั้นใหญ่หาสินมา,สู้เหย้า,เมื่อกลางแก่ศรัทธา,ทำแต่ บุญนา,ครั้งแก่แรงวอกเว้า,ห่อนได้เป็นการ ฯ
ความรู้ดูยิ่งล้ำ,สินทรัพย์,คิดค่าควรเมืองนับ,ยิ่งไซร้,เพราะเหตุจักอยู่กับ,กายอาต มานา,โจรจักเบียนบ่ได้,เร่งรู้เรียนเอา ฯ
ความรู้เรียนเมื่อน้อย,หนังสือ,ค่อยสมรรถจึงหัดปรือ,โล่ดั้ง,รู้แล้วเลิศอย่าถือ,ตนถ่อม เถิดพ่อ,บุญจักให้ใครรั้ง,เริ่มรู้เป็นเอง ฯ
ความรู้ดูยิ่งล้ำ,สินทรัพย์,คิดค่าควรเมืองนับ,ยิ่งไซร้,เพราะเหตุจักอยู่กับ,กายอาต- มานา,โจรจักเบียนบ่ได้,เร่งรู้เรียนเอา ฯ
จักเรียนความรู้พิ-,นิจครู,จักกล่าวภรรยาดู,พวกพ้อง,จักขึ้นสู่บนภู-,เขาค่อย เดินนา,จักเสพกามาพร้อง,โกรธไซร้รำพึง ฯ
